x1,y1,x2,y2,score,cls,count
139.56848,261.2256,191.95854,317.61298,0.45681316,column,1
372.90808,131.36462,430.88986,182.45105,0.5879375,column,2
32.229126,256.17383,102.767235,322.0465,0.37040794,column,3
458.04547,210.04297,643.7857,374.30963,0.32794935,tank,1
191.06065,212.1685,369.71014,372.7279,0.34354758,tank,2
544.5542,139.55824,649.6761,180.07207,0.25610682,pit,1
573.9384,406.36142,620.484,440.2131,0.85031486,lmi,1
588.45465,100.99521,634.93854,134.04153,0.8419817,lmi,2
128.7427,465.57172,176.13048,499.0103,0.796783,lmi,3
142.57321,265.91843,191.40436,312.14404,0.7809014,lmi,4
647.76227,283.0974,696.9089,328.77774,0.72022873,lmi,5
374.7177,134.89603,428.18207,176.84953,0.67492384,lmi,6
803.0705,174.47205,818.57404,191.90929,0.30487773,lmi,7
71.70208,490.28436,87.97997,507.7404,0.29882672,lmi,8
685.7483,328.09818,732.0,385.16492,0.2858917,tag,1
787.4219,429.4496,803.01526,446.25006,0.27580938,lmi,9
0.0,0.0,169.35237,148.07492,0.62100923,bug screen,1
349.8807,88.619576,383.74326,112.31412,0.5501683,valve,1
77.4775,516.87256,94.608246,535.56665,0.60401994,valve,2
290.9769,154.63885,310.57498,174.68863,0.42470136,valve,3
820.6005,149.22035,840.0875,169.88162,0.3860673,valve,4
399.2418,333.9826,415.82236,351.66122,0.46942347,valve,5
355.63153,304.84122,370.03165,321.65872,0.38484097,valve,6
210.33676,226.98834,225.24263,242.0,0.45956403,valve,7
666.8784,21.0,851.3252,152.77164,0.44365692,bug screen,2
411.71667,84.96195,426.70758,103.9618,0.34851736,valve,8
111.34059,142.0,125.319466,152.23816,0.39403614,valve,9
713.515,149.6429,732.0,170.81906,0.32550097,valve,10
499.52805,334.2119,515.9336,351.49127,0.31416315,valve,11
844.9115,457.48154,863.8878,476.36554,0.28127605,valve,12
655.8647,145.41176,676.0469,159.85692,0.27907634,valve,13
493.42578,406.74725,508.38147,421.56845,0.2777233,reducer,1
19.967436,488.52307,31.615547,508.1838,0.2633539,valve,14
470.6933,206.35034,487.46826,220.78047,0.25879216,reducer,2
613.52075,227.12944,627.35925,242.0,0.2578091,valve,15
794.2035,263.0,902.14075,408.86307,0.25745264,bug screen,3
